Author,Titles,Plot,Spice,Tropes & Themes,Kindle Unlimited,Notes
Vanessa Len,Only a Monster (Monsters #1),⭐⭐⭐,YA,Fantasy,FALSE,
Danielle Lori,The Sweetest Oblivion (Made #1),⭐⭐⭐,🌶️🌶️,Mafia Romance,TRUE,
Becka Mack,Consider Me (Playing for Keeps #1),⭐⭐⭐,🌶️🌶️,Sports Romance,TRUE,
,Play With Me (Playing for Keeps #2),⭐⭐⭐⭐,🌶️🌶️,Sports Romance,TRUE,
Ilsa Madden-Mills,Beauty and the Baller,⭐⭐⭐,🌶️,"Sports Romance (but not really, he's a coach now)",TRUE,
,Dear Ava,⭐⭐⭐,🌶️,"Enemies to Lovers, Bully",TRUE,dark
Kerri Maniscalco,Kingdom of the Wicked (Kingdom of the Wicked #1),⭐⭐⭐,🌶️,Fantasy,FALSE,
,Kingdom of the Cursed (Kingdom of the Wicked #2),⭐⭐⭐⭐,🌶️,,FALSE,
,Kingdom of the Feared (Kingdom of the Wicked #3),⭐⭐⭐⭐,🌶️,,FALSE,
Sam Mariano,Untouchable (Untouchables #1),⭐⭐⭐,🌶️🌶️,,TRUE,dark
S. Massery,Brutal Obsession (Hockey Gods),⭐⭐⭐,🌶️🌶️🌶️,Sports Romance (sort of),TRUE,dark
,Devious Obsession (Hockey Gods),⭐⭐⭐,🌶️🌶️🌶️,Sports Romance (sort of),TRUE,dark
,Secret Obsession (Hockey Gods),⭐⭐⭐,🌶️🌶️🌶️,Sports Romance (sort of),TRUE,dark
Emily McIntire,Hooked (Never After #1),⭐⭐⭐,🌶️🌶️🌶️,,TRUE,dark
,Scarred (Never After #2),⭐⭐⭐,🌶️🌶️🌶️,,TRUE,dark
,Wretched (Never After #3),??,??,,TRUE,dark
Annabel Monaghan,Nora Goes Off Script,⭐⭐⭐⭐,🌶️,,FALSE,"very straightforward writing, kind of threw me at some points"
Karen Marie Moning,Darkfever (Fever #1),⭐⭐⭐⭐,🌶️,"Fae, Forced Proximity",FALSE,my first introduction to fae. love this series. love the characters. have a soft spot for this series.
,Bloodfever (Fever #2),⭐⭐⭐⭐,🌶️🌶️,,FALSE,
,Faefever (Fever #3),⭐⭐⭐⭐,🌶️🌶️,,FALSE,
,Dreamfever (Fever #4),⭐⭐⭐⭐,🌶️🌶️,,FALSE,
